"changedFields","ibisProductId","ibisSourceId","newPublished","newSourcePrice","newStockQty","newStockStatus","nikProductId","nikSourceId","oldPublished","oldSourcePrice","oldStockQty","oldStockStatus","sku"
"sourcePrice","69e9e8be2eeb571971d4e0a2","79733","true","1.9","3","instock","69b44329c23d34935c3b73d6","24208","true","1.94","3","instock","139AC13"
"sourcePrice|stockQty","69e9e8be2eeb571971d4e09a","79731","true","2.8","8","instock","69b44329c23d34935c3b73df","24209","true","2.86","5","instock","139AE11"
"stockQty","69e9ee6e2eeb571971d56354","88471","true","21.47","5","instock","69b4432ac23d34935c3b73e8","24247","true","21.47","4","instock","222FR96"
"stockQty","69e9ee6d2eeb571971d5634c","88469","true","9.46","22","instock","69b4432ac23d34935c3b73f1","24268","true","9.46","27","instock","309CU71"
"sourcePrice","69e9ee6d2eeb571971d56344","88467","true","17.9","0","outofstock","69b4432ac23d34935c3b73fa","24273","true","0","0","outofstock","309CU72"
"sourcePrice|published","69e9ee6d2eeb571971d5633c","88465","true","17.9","0","outofstock","69b4432bc23d34935c3b7403","24277","false","0","0","outofstock","309CU76"
"stockQty","69e9ee6c2eeb571971d56334","88463","true","36.81","4","instock","69b4432bc23d34935c3b740c","24279","true","36.81","3","instock","146IG15"
"sourcePrice|stockQty|stockStatus|published","69e9ee6b2eeb571971d56323","88458","true","16.36","0","outofstock","69b4432cc23d34935c3b741e","24298","false","","5","instock","139AR36"
"sourcePrice|stockQty|stockStatus","69e9e8be2eeb571971d4e092","79729","true","26.5","0","outofstock","69b4432cc23d34935c3b7430","24368","true","30.48","10","instock","117IG19"
"sourcePrice|stockQty|published","69e9ee6b2eeb571971d56313","88455","true","19.5","11","instock","69b4432dc23d34935c3b7439","24370","false","0","4","instock","312IG12"
"sourcePrice","69e9ee6a2eeb571971d5630a","88453","true","9.46","0","outofstock","69b4432dc23d34935c3b7442","24500","true","10.88","0","outofstock","140MA13"
"sourcePrice|published","69e9ee6a2eeb571971d56302","88451","true","6.39","0","outofstock","69b4432dc23d34935c3b744b","24502","false","0","0","outofstock","143MA01"
"sourcePrice|stockQty|stockStatus|published","69e9ee6a2eeb571971d562fa","88449","true","7.57","1","instock","69b4432ec23d34935c3b7454","24507","false","0","0","outofstock","147MA03"
"sourcePrice|published","69e9ee692eeb571971d562f2","88447","true","16.36","0","outofstock","69b4432ec23d34935c3b745d","24511","false","0","0","outofstock","126MA03"
"sourcePrice|stockQty","69e9e8bd2eeb571971d4e089","79727","true","12.5","17","instock","69b4432ec23d34935c3b7466","24530","true","14.38","29","instock","167AR04"
"stockQty","69e9ee692eeb571971d562ea","88445","true","7.41","4","instock","69b4432ec23d34935c3b746f","24585","true","7.41","1","instock","140AR02"
"stockQty","69e9ee682eeb571971d562ca","88437","true","9.97","12","instock","69b44330c23d34935c3b7493","24650","true","9.97","11","instock","200FR113"
"sourcePrice|stockQty","69e9ee672eeb571971d562c2","88435","true","28","12","instock","69b44330c23d34935c3b749c","24654","true","39.88","3","instock","816PE46"
"stockQty","69e9f3c12eeb571971d5ddd7","108955","true","17.38","9","instock","69b44330c23d34935c3b74a5","24674","true","17.38","6","instock","140GR41"
"sourcePrice|stockQty|stockStatus","69e9e8bd2eeb571971d4e081","79725","true","54","0","outofstock","69b44331c23d34935c3b74ae","24695","true","50.11","2","instock","117ZN46OR"
"sourcePrice|stockQty|stockStatus","69e9ee662eeb571971d562a9","88428","true","45","0","outofstock","69b44331c23d34935c3b74c0","24701","true","51.75","2","instock","140ZN71"
"sourcePrice|stockQty","69e9ee652eeb571971d56297","88424","true","39.88","3","instock","69b44332c23d34935c3b74d2","24707","true","42.33","1","instock","140ZN73"
"sourcePrice|stockQty","69e9ee652eeb571971d5628e","88422","true","8.44","12","instock","69b44332c23d34935c3b74db","24747","true","7.41","5","instock","140AC02"
"stockQty","69e9ee642eeb571971d5627e","88418","true","12.27","4","instock","69b44333c23d34935c3b74f6","24791","true","12.27","6","instock","140LG02"
"stockQty","69e9e8bc2eeb571971d4e069","79719","true","9.46","10","instock","69b44334c23d34935c3b7508","24827","true","9.46","5","instock","116LG438"
"sourcePrice|stockQty","69e9e8bb2eeb571971d4e061","79717","true","52","4","instock","69b44334c23d34935c3b7511","24836","true","59.8","2","instock","168ZN34"
"sourcePrice|stockQty","69e9ee642eeb571971d56275","88416","true","14","36","instock","69b44334c23d34935c3b751a","24840","true","16.1","28","instock","320GR15"
"sourcePrice|stockQty","69e9ee632eeb571971d5626d","88413","true","7.57","13","instock","69b44335c23d34935c3b7523","24844","true","5.01","5","instock","156MI00"
"sourcePrice|stockQty","69e9ee632eeb571971d5625c","88409","true","18.41","6","instock","69b44335c23d34935c3b7535","24877","true","18.99","5","instock","156AC02"
"sourcePrice","69e9ee622eeb571971d56253","88407","true","41.93","2","instock","69b44336c23d34935c3b753e","24880","true","29.65","2","instock","159AC08"
"stockQty","69e9e8bb2eeb571971d4e059","79715","true","7.41","30","instock","69b44336c23d34935c3b7547","24885","true","7.41","31","instock","116LG125"
